,Entity,Code,Year,Solar Capacity
368,China,CHN,-1.140111736705009,-0.22492376492351926
369,China,CHN,-1.0065162167732669,-0.22484139713158935
370,China,CHN,-0.8729206968415246,-0.22450296698095176
371,China,CHN,-0.7393251769097824,-0.2243188507401673
372,China,CHN,-0.60572965697804,-0.22413601435408542
373,China,CHN,-0.4721341370462978,-0.22295489129999635
374,China,CHN,-0.3385386171145555,-0.22260750216644073
375,China,CHN,-0.20494309718281326,-0.22189809698844298
376,China,CHN,-0.07134757725107096,-0.22091078050360072
377,China,CHN,0.06224794268067132,-0.21795248777679563
378,China,CHN,0.1958434626124136,-0.20685431914162444
379,China,CHN,0.3294389825441559,-0.16871464900494065
380,China,CHN,0.46303450247589817,-0.10271071362937571
381,China,CHN,0.5966300224076404,0.09895782021895702
382,China,CHN,0.7302255423393827,0.2934957350100958
383,China,CHN,0.863821062271125,0.5704928599241703
384,China,CHN,0.9974165822028672,1.1967074822546688
385,China,CHN,1.1310121021346096,2.165986974773549
386,China,CHN,1.2646076220663518,2.974390193870057
387,China,CHN,1.398203141998094,3.514835170471221
388,China,CHN,1.5317986619298365,4.4078629310110315
389,China,CHN,1.6653941818615787,5.376621522665965
390,Czechia,CZE,-1.6744938164319783,-0.22553654107147272
391,Czechia,CZE,-1.540898296500236,-0.22553654107147272
392,Czechia,CZE,-1.4073027765684938,-0.22553654107147272
393,Czechia,CZE,-1.2737072566367516,-0.22553654107147272
394,Czechia,CZE,-1.140111736705009,-0.2255347127076119
395,Czechia,CZE,-1.0065162167732669,-0.2255347127076119
396,Czechia,CZE,-0.8729206968415246,-0.2255328843437511
397,Czechia,CZE,-0.7393251769097824,-0.2255310559798903
398,Czechia,CZE,-0.60572965697804,-0.22552922761602945
399,Czechia,CZE,-0.4721341370462978,-0.22552582685924832
400,Czechia,CZE,-0.3385386171145555,-0.22552116453140325
401,Czechia,CZE,-0.20494309718281326,-0.2254641195789457
402,Czechia,CZE,-0.07134757725107096,-0.22481433734644923
403,Czechia,CZE,0.06224794268067132,-0.21704196257410777
404,Czechia,CZE,0.1958434626124136,-0.19396069719512904
405,Czechia,CZE,0.3294389825441559,-0.19055994041400576
406,Czechia,CZE,0.46303450247589817,-0.18856702380571308
407,Czechia,CZE,0.5966300224076404,-0.1878082528034732
408,Czechia,CZE,0.7302255423393827,-0.18773694661290127
409,Czechia,CZE,0.863821062271125,-0.18759981932333986
410,Czechia,CZE,0.9974165822028672,-0.18772780479359719
411,Czechia,CZE,1.1310121021346096,-0.18769855097182409
412,Czechia,CZE,1.2646076220663518,-0.18759667453749923
413,Czechia,CZE,1.398203141998094,-0.18738911867201904
414,Czechia,CZE,1.5317986619298365,-0.1867256602778437
415,Czechia,CZE,1.6653941818615787,-0.18678965301297235
416,Denmark,DNK,-1.6744938164319783,-0.22553654107147272
417,Denmark,DNK,-1.540898296500236,-0.22553654107147272
418,Denmark,DNK,-1.4073027765684938,-0.22553654107147272
419,Denmark,DNK,-1.2737072566367516,-0.22553654107147272
420,Denmark,DNK,-1.140111736705009,-0.22551825743286455
421,Denmark,DNK,-1.0065162167732669,-0.22551825743286455
422,Denmark,DNK,-0.8729206968415246,-0.22549997379425635
423,Denmark,DNK,-0.7393251769097824,-0.22549997379425635
424,Denmark,DNK,-0.60572965697804,-0.22549997379425635
425,Denmark,DNK,-0.4721341370462978,-0.22548169015564815
426,Denmark,DNK,-0.3385386171145555,-0.22548169015564815
427,Denmark,DNK,-0.20494309718281326,-0.22548169015564815
428,Denmark,DNK,-0.07134757725107096,-0.22548169015564815
429,Denmark,DNK,0.06224794268067132,-0.22544512287843177
430,Denmark,DNK,0.1958434626124136,-0.2254085556012154
431,Denmark,DNK,0.3294389825441559,-0.2252257192151335
432,Denmark,DNK,0.46303450247589817,-0.21818651835098046
433,Denmark,DNK,0.5966300224076404,-0.2150965834261964
434,Denmark,DNK,0.7302255423393827,-0.21443837243630157
435,Denmark,DNK,0.863821062271125,-0.21123676104689867
436,Denmark,DNK,0.9974165822028672,-0.20997802394691784
437,Denmark,DNK,1.1310121021346096,-0.20896516521893996
438,Denmark,DNK,1.2646076220663518,-0.2072894697404994
439,Denmark,DNK,1.398203141998094,-0.2057902113746278
440,Denmark,DNK,1.5317986619298365,-0.2016893009366425
441,Denmark,DNK,1.6653941818615787,-0.19737436222510973
442,Egypt,EGY,-1.6744938164319783,-0.2255347127076119
443,Egypt,EGY,-1.540898296500236,-0.2255347127076119
444,Egypt,EGY,-1.4073027765684938,-0.2255347127076119
445,Egypt,EGY,-1.2737072566367516,-0.2255347127076119
446,Egypt,EGY,-1.140111736705009,-0.2255347127076119
447,Egypt,EGY,-1.0065162167732669,-0.2255273992521686
448,Egypt,EGY,-0.8729206968415246,-0.2255255708883078
449,Egypt,EGY,-0.7393251769097824,-0.2255255708883078
450,Egypt,EGY,-0.60572965697804,-0.2255255708883078
451,Egypt,EGY,-0.4721341370462978,-0.2255255708883078
452,Egypt,EGY,-0.3385386171145555,-0.2255255708883078
453,Egypt,EGY,-0.20494309718281326,-0.22552374252444699
454,Egypt,EGY,-0.07134757725107096,-0.22552008579672536
455,Egypt,EGY,0.06224794268067132,-0.22551277234128206
456,Egypt,EGY,0.1958434626124136,-0.22526228649234986
457,Egypt,EGY,0.3294389825441559,-0.22526228649234986
458,Egypt,EGY,0.46303450247589817,-0.22526228649234986
459,Egypt,EGY,0.5966300224076404,-0.22526228649234986
460,Egypt,EGY,0.7302255423393827,-0.22526228649234986
461,Egypt,EGY,0.863821062271125,-0.2252440028537417
462,Egypt,EGY,0.9974165822028672,-0.22482347916575332
463,Egypt,EGY,1.1310121021346096,-0.22261115889416236
464,Egypt,EGY,1.2646076220663518,-0.21192985721925794
465,Egypt,EGY,1.398203141998094,-0.1957854043282264
466,Egypt,EGY,1.5317986619298365,-0.1952699885558615
467,Egypt,EGY,1.6653941818615787,-0.1952699885558615
468,Europe,EGY,-1.6744938164319783,-0.22431336564858484
469,Europe,EGY,-1.540898296500236,-0.22394037942097775
470,Europe,EGY,-1.4073027765684938,-0.22360944556216955
471,Europe,EGY,-1.2737072566367516,-0.22313224259449577
472,Europe,EGY,-1.140111736705009,-0.22187798498597394
473,Europe,EGY,-1.0065162167732669,-0.22004486701344408
474,Europe,EGY,-0.8729206968415246,-0.21849744954347855
475,Europe,EGY,-0.7393251769097824,-0.2141317375332036
476,Europe,EGY,-0.60572965697804,-0.20112122828508605
477,Europe,EGY,-0.4721341370462978,-0.18320064788873913
478,Europe,EGY,-0.3385386171145555,-0.1658099821901734
479,Europe,EGY,-0.20494309718281326,-0.1333897084647105
480,Europe,EGY,-0.07134757725107096,-0.03432332312484718
481,Europe,EGY,0.06224794268067132,0.08228208135724874
482,Europe,EGY,0.1958434626124136,0.32515140525260294
483,Europe,EGY,0.3294389825441559,0.7538260673179681
484,Europe,EGY,0.46303450247589817,1.0856997417179404
485,Europe,EGY,0.5966300224076404,1.271171257214243
486,Europe,EGY,0.7302255423393827,1.3977022640202899
487,Europe,EGY,0.863821062271125,1.554344595250164
488,Europe,EGY,0.9974165822028672,1.6739312932764343
489,Europe,EGY,1.1310121021346096,1.7881323627142758
490,Europe,EGY,1.2646076220663518,1.9628270445239462
491,Europe,EGY,1.398203141998094,2.3568043519443074
492,Europe,EGY,1.5317986619298365,2.732441158640407
493,Europe,EGY,1.6653941818615787,3.1559928000186734
494,Europe (BP),EGY,-1.6744938164319783,-0.22431336564858484
495,Europe (BP),EGY,-1.540898296500236,-0.22394037942097775
496,Europe (BP),EGY,-1.4073027765684938,-0.22360944556216955
497,Europe (BP),EGY,-1.2737072566367516,-0.22313224259449577
498,Europe (BP),EGY,-1.140111736705009,-0.22187615662211313
499,Europe (BP),EGY,-1.0065162167732669,-0.2200393822875344
500,Europe (BP),EGY,-0.8729206968415246,-0.21848647972598642
501,Europe (BP),EGY,-0.7393251769097824,-0.21411345389459543
502,Europe (BP),EGY,-0.60572965697804,-0.20109380282717376
503,Europe (BP),EGY,-0.4721341370462978,-0.18316408061152278
504,Europe (BP),EGY,-0.3385386171145555,-0.16576427309365294
505,Europe (BP),EGY,-0.20494309718281326,-0.1333348575488859
506,Europe (BP),EGY,-0.07134757725107096,-0.03425567366199687
507,Europe (BP),EGY,0.06224794268067132,0.0823679961750686
508,Europe (BP),EGY,0.1958434626124136,0.32525542087264486
509,Europe (BP),EGY,0.3294389825441559,0.753948147172955
510,Europe (BP),EGY,0.46303450247589817,1.0859119964785426
511,Europe (BP),EGY,0.5966300224076404,1.271471931651155
512,Europe (BP),EGY,0.7302255423393827,1.3983423742079626
513,Europe (BP),EGY,0.863821062271125,1.5577761416787035
514,Europe (BP),EGY,0.9974165822028672,1.687766156938479
515,Europe (BP),EGY,1.1310121021346096,1.8465555358501131
516,Europe (BP),EGY,1.2646076220663518,2.0456021959220316
517,Europe (BP),EGY,1.398203141998094,2.4430815514814053
518,Europe (BP),EGY,1.5317986619298365,2.828239014473562
